,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
mi,36,120,277,423,162,179,542,46,36,28,23,53,33,65,10,30,27,45,12,16,13,2176.0
ho,3,6,26,19,8,8,26,5,9,6,7,1,8,4,2,2,7,6,0,1,1,155.0
la,96,229,435,707,331,358,958,124,124,99,109,110,141,161,27,79,74,99,54,59,43,4417.0
soy,12,30,59,79,36,51,95,3,0,3,2,0,0,0,0,0,0,0,0,0,0,370.0
jo,7,10,13,23,18,5,38,9,17,33,8,11,7,7,27,35,40,78,18,20,25,449.0
se,15,66,98,224,97,83,390,49,68,52,45,60,42,46,43,148,188,324,115,102,76,2331.0
an,5,4,13,8,7,10,20,2,10,17,8,11,10,5,2,3,2,11,1,3,0,152.0
dres,2,0,0,2,4,1,4,1,0,4,1,1,1,1,0,1,4,1,0,0,0,28.0
nu,4,5,9,6,9,0,12,2,2,2,3,3,5,14,9,22,29,22,13,13,9,193.0
nez,2,1,2,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14.0
x,15,12,28,81,18,34,73,0,0,0,0,2,0,0,0,0,1,0,0,0,0,264.0
ga,21,39,79,121,61,67,171,29,26,13,16,11,16,23,2,14,9,20,8,13,6,765.0
li,15,20,57,110,54,51,151,12,15,15,25,45,41,36,0,7,6,15,6,3,4,688.0
cia,2,2,7,5,5,4,11,3,18,14,20,22,16,12,1,7,8,18,7,6,3,191.0
y,72,218,340,627,239,312,882,68,83,77,75,71,79,64,94,315,398,590,255,206,170,5235.0
vi,12,25,42,71,27,20,90,11,24,15,10,15,17,17,2,8,17,22,6,7,9,467.0
vo,4,18,32,55,16,17,52,9,9,3,4,13,7,17,18,83,85,100,48,30,34,654.0
en,39,92,145,282,138,140,366,49,79,65,61,102,90,55,30,68,71,121,35,58,29,2115.0
est,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
t,1,0,1,5,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17.0
es,92,225,431,689,309,335,934,50,66,50,74,77,60,45,16,78,90,140,42,50,41,3894.0
ta,18,84,139,270,103,130,407,67,56,75,51,68,45,61,36,145,164,254,100,86,69,2428.0
ca,31,50,118,269,122,117,327,55,55,50,40,80,67,51,15,93,116,149,73,50,36,1964.0
sa,18,50,112,224,88,99,266,21,48,43,41,21,17,22,26,117,147,188,81,51,43,1723.0
toy,2,3,13,18,9,11,21,1,0,2,0,1,0,0,0,1,2,0,0,1,1,86.0
re,13,26,62,118,41,66,134,26,44,31,37,47,45,52,13,44,50,87,37,33,30,1036.0
pu,1,2,4,15,4,5,15,0,3,3,6,5,4,8,3,15,13,27,12,9,6,160.0
bli,1,0,0,0,0,0,3,0,1,1,1,2,2,1,0,1,0,0,0,0,0,13.0
me,25,62,135,216,84,84,255,36,19,18,27,41,17,17,1,17,15,20,7,2,7,1105.0
xi,1,1,3,8,6,2,10,0,2,0,0,4,5,3,0,2,2,5,0,0,0,54.0
na,12,34,80,170,75,100,223,46,71,54,85,72,82,67,21,84,80,137,46,51,42,1632.0
cue,46,109,218,332,161,171,429,11,0,1,1,0,0,1,1,2,1,2,1,1,3,1491.0
mie,1,1,2,1,0,0,2,0,0,0,0,0,0,1,0,5,8,11,6,4,2,44.0
de,24,86,140,291,126,110,408,105,127,169,179,204,193,237,41,109,123,180,74,56,38,3020.0
dri,5,6,20,32,16,8,41,1,0,0,0,1,1,10,0,0,1,0,0,0,0,142.0
